census_tract,population
17-031-980100,0
17-031-980000,0
17-031-843900,3533
17-031-843800,2110
17-031-843700,2117
17-031-843600,2807
17-031-843500,11309
17-031-843400,1451
17-031-843300,1228
17-031-843200,2780
17-031-843100,1892
17-031-843000,2378
17-031-842900,2341
17-031-842800,7498
17-031-842600,4133
17-031-842500,2451
17-031-842400,3304
17-031-842300,3244
17-031-842200,2603
17-031-842100,6731
17-031-842000,2744
17-031-841900,4865
17-031-841800,2505
17-031-841700,1442
17-031-841600,1166
17-031-841500,2962
17-031-841400,1559
17-031-841300,4463
17-031-841200,5262
17-031-841100,7254
17-031-841000,849
17-031-840800,3716
17-031-840700,4249
17-031-840400,3326
17-031-840300,3950
17-031-840200,2338
17-031-840100,2935
17-031-840000,2695
17-031-839900,4080
17-031-839800,2730
17-031-839700,4326
17-031-839600,1952
17-031-839500,1545
17-031-839200,2545
17-031-839100,4350
17-031-839000,7311
17-031-838800,3233
17-031-838700,4484
17-031-838600,1598
17-031-838300,1631
17-031-838200,1578
17-031-838100,1713
17-031-838000,2561
17-031-837800,2796
17-031-837400,2279
17-031-837300,2483
17-031-837100,1819
17-031-837000,2085
17-031-836900,1442
17-031-836800,2661
17-031-836700,2397
17-031-836600,2997
17-031-836500,1496
17-031-836400,2979
17-031-836300,1288
17-031-836200,1529
17-031-836100,1761
17-031-836000,2177
17-031-835900,3271
17-031-835800,1576
17-031-835700,0
17-031-835600,1199
17-031-835500,1677
17-031-835200,2060
17-031-835100,5369
17-031-835000,5778
17-031-834900,2272
17-031-834800,1953
17-031-834700,2078
17-031-834600,3778
17-031-834500,1475
17-031-834400,3772
17-031-834300,6570
17-031-834200,4944
17-031-834000,3632
17-031-833900,2714
17-031-833300,2278
17-031-833100,6895
17-031-833000,2768
17-031-832900,2212
17-031-832600,3727
17-031-832500,3606
17-031-832400,3181
17-031-832300,1870
17-031-832200,2940
17-031-832100,3297
17-031-832000,1798
17-031-831900,2717
17-031-831800,6322
17-031-831700,2075
17-031-831600,7270
17-031-831500,4079
17-031-831400,2964
17-031-831300,1280
17-031-831200,5021
17-031-831100,7453
17-031-831000,2138
17-031-830900,2877
17-031-830800,2391
17-031-830700,4247
17-031-830600,5005
17-031-830500,4660
17-031-823304,14
17-031-821402,11
17-031-810400,281
17-031-808100,0
17-031-807900,0
17-031-805600,0
17-031-770902,196
17-031-770800,0
17-031-770700,0
17-031-770602,1
17-031-770500,0
17-031-760803,6236
17-031-760802,2276
17-031-760801,4047
